"Date","InCount","outlier"
"2016-01-12","132534",2
"2017-01-12","120403",2
"2010-02-12","185061",2
"2011-02-12","250746",2
"2012-02-12","97221",2
"2013-02-12","153334",2
"2014-02-12","101174",2
"2015-02-12","138428",2
"2016-02-12","156031",2
"2017-02-12","73818",2
"2010-03-12","162382",2
"2011-03-12","231181",2
"2012-03-12","141784",2
"2013-03-12","142516",2
"2014-03-12","138712",2
"2015-03-12","155198",2
"2016-03-12","205961",2
"2010-04-12","178978",2
"2011-04-12","163759",2
"2012-04-12","165451",2
"2013-04-12","160022",2
"2014-04-12","187259",2
"2015-04-12","84459",2
"2016-04-12","113684",2
"2010-05-12","137196",2
"2011-05-12","142268",2
"2012-05-12","223527",2
"2013-05-12","91124",2
"2014-05-12","135188",2
"2015-05-12","135821",2
"2016-05-12","155382",2
"2010-06-12","222457",2
"2011-06-12","64527",2
"2012-06-12","141224",2
"2013-06-12","138092",2
"2014-06-12","155597",2
"2015-06-12","161834",2
"2016-06-12","114850",2
"2010-07-12","129288",2
"2011-07-12","132944",2
"2012-07-12","157690",2
"2013-07-12","137775",2
"2014-07-12","205693",2
"2015-07-12","120251",2
"2016-07-12","141771",2
"2009-08-12","189630",2
"2010-08-12","161202",2
"2011-08-12","140407",2
"2012-08-12","77337",2
"2013-08-12","127051",2
"2014-08-12","151782",2
"2015-08-12","143266",2
"2016-08-12","169957",2
"2009-09-12","253298",1
"2010-09-12","100034",2
"2011-09-12","133661",2
"2012-09-12","120384",2
"2013-09-12","131604",2
"2014-09-12","150489",2
"2015-09-12","161676",2
"2016-09-12","158024",2
"2009-10-12","160722",2
"2010-10-12","159363",2
"2011-10-12","124183",2
