Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,Date33,Date444
Leeds,Headrow,2018,February,8,Friday,23/02/2018,,18995,0,18995,18995,0,18995,43154,43154
Leeds,Albion Street North,2018,February,8,Saturday,24/02/2018,,39420,0,39420,39420,0,39420,43155,43155
Leeds,Albion Street South,2018,February,8,Saturday,24/02/2018,,21491,0,21491,21491,0,21491,43155,43155
Leeds,Briggate,2018,February,8,Saturday,24/02/2018,,52926,0,52926,52926,0,52926,43155,43155
Leeds,"Briggate at McDonalds	",2018,February,8,Saturday,24/02/2018,,17064,17282,17064,17064,17282,17064,43155,43155
Leeds,Commercial Street at Barratts,2018,February,8,Saturday,24/02/2018,,26596,0,26596,26596,0,26596,43155,43155
Leeds,Commercial Street at Sharps,2018,February,8,Saturday,24/02/2018,,33255,0,33255,33255,0,33255,43155,43155
Leeds,"Dortmund Square	",2018,February,8,Saturday,24/02/2018,,23330,0,23330,23330,0,23330,43155,43155
Leeds,Headrow,2018,February,8,Saturday,24/02/2018,,22583,0,22583,22583,0,22583,43155,43155
Leeds,Albion Street North,2018,February,8,Sunday,25/02/2018,,20309,0,20309,20309,0,20309,43156,43156
Leeds,Albion Street South,2018,February,8,Sunday,25/02/2018,,10639,0,10639,10639,0,10639,43156,43156
Leeds,Briggate,2018,February,8,Sunday,25/02/2018,,32439,0,32439,32439,0,32439,43156,43156
Leeds,"Briggate at McDonalds	",2018,February,8,Sunday,25/02/2018,,8166,8247,8166,8166,8247,8166,43156,43156
Leeds,Commercial Street at Barratts,2018,February,8,Sunday,25/02/2018,,11963,0,11963,11963,0,11963,43156,43156
Leeds,Commercial Street at Sharps,2018,February,8,Sunday,25/02/2018,,15348,0,15348,15348,0,15348,43156,43156
Leeds,"Dortmund Square	",2018,February,8,Sunday,25/02/2018,,11273,0,11273,11273,0,11273,43156,43156
Leeds,Headrow,2018,February,8,Sunday,25/02/2018,,10886,0,10886,10886,0,10886,43156,43156
Leeds,Albion Street North,2018,March,9,Monday,26/02/2018,,30226,0,30226,30226,0,30226,43157,43157
Leeds,Albion Street South,2018,March,9,Monday,26/02/2018,,17428,0,17428,17428,0,17428,43157,43157
Leeds,Briggate,2018,March,9,Monday,26/02/2018,,24808,0,24808,24808,0,24808,43157,43157
Leeds,"Briggate at McDonalds	",2018,March,9,Monday,26/02/2018,,10849,11056,10849,10849,11056,10849,43157,43157
Leeds,Commercial Street at Barratts,2018,March,9,Monday,26/02/2018,,23223,0,23223,23223,0,23223,43157,43157
Leeds,Commercial Street at Sharps,2018,March,9,Monday,26/02/2018,,22266,0,22266,22266,0,22266,43157,43157
Leeds,"Dortmund Square	",2018,March,9,Monday,26/02/2018,,18186,0,18186,18186,0,18186,43157,43157
Leeds,Headrow,2018,March,9,Monday,26/02/2018,,15436,0,15436,15436,0,15436,43157,43157
Leeds,Albion Street North,2018,March,9,Tuesday,27/02/2018,,25252,0,25252,25252,0,25252,43158,43158
Leeds,Albion Street South,2018,March,9,Tuesday,27/02/2018,,15947,0,15947,15947,0,15947,43158,43158
Leeds,Briggate,2018,March,9,Tuesday,27/02/2018,,23853,0,23853,23853,0,23853,43158,43158
Leeds,"Briggate at McDonalds	",2018,March,9,Tuesday,27/02/2018,,10328,10039,10328,10328,10039,10328,43158,43158
Leeds,Commercial Street at Barratts,2018,March,9,Tuesday,27/02/2018,,11880,0,11880,11880,0,11880,43158,43158
Leeds,Commercial Street at Sharps,2018,March,9,Tuesday,27/02/2018,,19039,0,19039,19039,0,19039,43158,43158
Leeds,"Dortmund Square	",2018,March,9,Tuesday,27/02/2018,,17249,0,17249,17249,0,17249,43158,43158
Leeds,Headrow,2018,March,9,Tuesday,27/02/2018,,16733,0,16733,16733,0,16733,43158,43158
Leeds,Albion Street North,2018,March,9,Wednesday,28/02/2018,,23026,0,23026,23026,0,23026,43159,43159
Leeds,Albion Street South,2018,March,9,Wednesday,28/02/2018,,13261,0,13261,13261,0,13261,43159,43159
Leeds,Briggate,2018,March,9,Wednesday,28/02/2018,,20419,0,20419,20419,0,20419,43159,43159
Leeds,"Briggate at McDonalds	",2018,March,9,Wednesday,28/02/2018,,8533,0,8533,8533,0,8533,43159,43159
Leeds,Commercial Street at Barratts,2018,March,9,Wednesday,28/02/2018,,16006,0,16006,16006,0,16006,43159,43159
Leeds,Commercial Street at Sharps,2018,March,9,Wednesday,28/02/2018,,13983,0,13983,13983,0,13983,43159,43159
Leeds,"Dortmund Square	",2018,March,9,Wednesday,28/02/2018,,14126,0,14126,14126,0,14126,43159,43159
Leeds,Headrow,2018,March,9,Wednesday,28/02/2018,,11205,0,11205,11205,0,11205,43159,43159
Leeds,Albion Street North,2018,March,9,Thursday,01/03/2018,,20891,0,20891,20891,0,20891,43160,43160
Leeds,Albion Street South,2018,March,9,Thursday,01/03/2018,,7684,0,7684,7684,0,7684,43160,43160
Leeds,Briggate,2018,March,9,Thursday,01/03/2018,,13889,0,13889,13889,0,13889,43160,43160
Leeds,"Briggate at McDonalds	",2018,March,9,Thursday,01/03/2018,,6926,0,6926,6926,0,6926,43160,43160
Leeds,Commercial Street at Barratts,2018,March,9,Thursday,01/03/2018,,11539,0,11539,11539,0,11539,43160,43160
Leeds,Commercial Street at Sharps,2018,March,9,Thursday,01/03/2018,,10358,0,10358,10358,0,10358,43160,43160
Leeds,"Dortmund Square	",2018,March,9,Thursday,01/03/2018,,11401,0,11401,11401,0,11401,43160,43160
Leeds,Headrow,2018,March,9,Thursday,01/03/2018,,10232,0,10232,10232,0,10232,43160,43160
Leeds,Albion Street North,2018,March,9,Friday,02/03/2018,,30937,0,30937,30937,0,30937,43161,43161
Leeds,Albion Street South,2018,March,9,Friday,02/03/2018,,15102,0,15102,15102,0,15102,43161,43161
Leeds,Briggate,2018,March,9,Friday,02/03/2018,,27248,0,27248,27248,0,27248,43161,43161
Leeds,"Briggate at McDonalds	",2018,March,9,Friday,02/03/2018,,11186,0,11186,11186,0,11186,43161,43161
Leeds,Commercial Street at Barratts,2018,March,9,Friday,02/03/2018,,1614,0,1614,1614,0,1614,43161,43161
Leeds,Commercial Street at Sharps,2018,March,9,Friday,02/03/2018,,17904,0,17904,17904,0,17904,43161,43161
Leeds,"Dortmund Square	",2018,March,9,Friday,02/03/2018,,16403,0,16403,16403,0,16403,43161,43161
Leeds,Headrow,2018,March,9,Friday,02/03/2018,,13721,0,13721,13721,0,13721,43161,43161
Leeds,Albion Street North,2018,March,9,Saturday,03/03/2018,,30990,0,30990,30990,0,30990,43162,43162
